timestamp,active_window,highlight,ocr_text
2026-06-14T20:41:14,Laptop Monitor,~ © covmssse XW Meet-op-atote — @ BAM Keys- Grog x + + Ask Gein | € > GS aowalegioacomeys Br Of | QPOQ Personal = 7 deteutProect = | ariKeys - | ‘Mana,"~ © covmssse XW Meet-op-atote — @ BAM Keys- Grog x + + Ask Gein | € > GS aowalegioacomeys Br Of | QPOQ Personal = 7 deteutProect = | ariKeys - | ‘Manage your project API Keys. Remember to ke, =) @ Svekey Geta tee ay ~ conolegrogcom | f sendepee)# | BQ0G@00%POCme GER"
2026-06-14T20:41:16,localhost:5000 - Google Chrome,Y) © cavnassoe | © ecalnost000 | © Meet | © XB Mites -coqcous x tecitoss000 w+ | BQe0G@o0ePomeud Gees | Phkemins OX | sham Mendl(ou preening),Y) © cavnassoe | © ecalnost000 | © Meet | © XB Mites -coqcous x tecitoss000 w+ | BQe0G@o0ePomeud Gees | Phkemins OX | sham Mendl(ou preening)
2026-06-14T20:41:18,Laptop Monitor - Google Chrome,"Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 | @ Laptop MONITOR | Search window tiles, hig","Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 | @ Laptop MONITOR | Search window tiles, highlights, OCR tex | mx DIF): | (StS -Cretng Sings Submit Google Chrome (0 Dison in Competitive Pogamming | Math for CP | osregmconor ol GING = atprovencevcourtwe + Gaus[W) DRoin Compete Pry + -Ox| = yoube™ | woe YouTube combinatorics pplyisteSES =*|9. ‘combinatorics pplayist x tome CEA | Csts Pro | ZFQog@o00P Cmte da CCB"
2026-06-14T20:41:20,Laptop Monitor - Google Chrome,@ LAPTOP MONITOR,@ LAPTOP MONITOR
2026-06-14T20:41:23,Laptop Monitor,~ © covmssse XW Meet-p-atote — @ XB AK -Grogcout % © Uptep Mentor x + + Ask Gein | © > GO Lecalhost:s000 Ber OF | LarTop MONITOR swe | ww LAPTOP MONIT,~ © covmssse XW Meet-p-atote — @ XB AK -Grogcout % © Uptep Mentor x + + Ask Gein | © > GO Lecalhost:s000 Ber OF | LarTop MONITOR swe | ww LAPTOP MONITOR — | Sore tay Geta rey = cole goacom | dress ae < ‘Screomhets\acreen ae-eeisri_ | SehomMendl eu resenting | ‘@urToP MoNTOR WecamaunexiMetopton 2708. ae mks “et sere seat | BQoGgQ@000P OCmA HOGER A 09 NOHO yocme #
2026-06-14T20:41:25,Laptop Monitor,~ © covmssse XB Mect-gpetone — @ XB AMKeys-Groqiout % © Uptep Mentor x + + Ask Gemini | © % SO Lecathost:5000 Ber Oo fF | ° Grog API Key. Save Key Get,~ © covmssse XB Mect-gpetone — @ XB AMKeys-Groqiout % © Uptep Mentor x + + Ask Gemini | © % SO Lecathost:5000 Ber Oo fF | ° Grog API Key. Save Key Get a free key ~ console. grogcom | BQoGgQ@000P OCmA HOGER 2 Oo HO oc zes F
2026-06-14T20:41:26,Laptop Monitor - Google Chrome,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 mx DIF): | @ Laptop MONITOR Aitoeesh int | ol,"Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 mx DIF): | @ Laptop MONITOR Aitoeesh int | ol apres 56 | Search window tiles, highlights, OCR tex | Laptop Mor - Google Crome Iocamosson0- Google Chrome | ‘roqcous% © pep Montor ws Phkains OX|€> SO Nites coqcous x teoss0 w> | | ‘atoss00|@ Laptop MONITOR | earch window aco eedePomed Gees Pern O| sham | ties 9 Menai proving) | ZQogQ@G000P OCme da CCR A700 Meae yee"
2026-06-14T20:41:27,Laptop Monitor - Google Chrome,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor x + Phkemins OX | © > © © becatnoss000 Be oF | @ Laptop MONITOR foveeshin Os | Te,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor x + Phkemins OX | © > © © becatnoss000 Be oF | @ Laptop MONITOR foveeshin Os | Tet cpr 19570 | Laptop Montor- Google home Laptop Moto - Google Crome | (@ wor MoNTOR ¥) © camassoeX| Met opetove — @ xB AMKe | ‘Groqecus © pep Montor ws Pains OX | €> SO | ‘exthoss00 | @ Lapp MONITOR |Search window | ‘Hes ig | Laptop Motor | = © commsse XB Mect-gpetone — @ XB AMKeye | Grogiout% © Uptep Mentor x ++ Ak amin [© % | 50 Lecathost000 Ber Oo fF |* Grog AP Ky. Sve | Key et | mewdwOoces 209 Meme Rie
2026-06-14T20:41:32,Laptop Monitor - Google Chrome,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © Uptep Mentor x + Phkemins 0 x | © > © © becatnoss000 mx DIF): | @ Laptop MONITOR | Laptop Mo,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © Uptep Mentor x + Phkemins 0 x | © > © © becatnoss000 mx DIF): | @ Laptop MONITOR | Laptop Montor- Google Come Laptop Moter- Google Crome Laptop Mentor laptop Monitor | 1) © camassoe X| Met opetove— ¥ © camassoe x Met opetove — @ xb AK = © conmsse XB Mectgpetone — @ X8 AMKeys | {© becatnss0008e oF | @ Laptop MONITOR extoss000 mx IF: | @ Laptop MONITOR Ntovesh SO Lecathos5000 Ber Oo fF | Grog AP Key. Save {60 tecahsts000 Ber OF | arop MONITOR si | | Aoveesin Os Te intlot ey Get ‘UsTOP MONIT | neomeece eomed Goce
2026-06-14T20:41:33,application_monitoring - File Explorer,(m ptiaon mentoring x | © © D> TPE > Wind) > sprbeion montaing > | xo @ GB Nin Bim | Loomea | Mme . onemeiias | pe | Hoanes ¢ Mate oeamszott rete | Br,(m ptiaon mentoring x | © © D> TPE > Wind) > sprbeion montaing > | xo @ GB Nin Bim | Loomea | Mme . onemeiias | pe | Hoanes ¢ Mate oeamszott rete | Bron ¢ Moet woeameinet er | Ou 4 Bm woramsm ow hie | Bice oe | Becnmnee woeaméinst Moot Co. | ose | Dm rocamsiei2 —rynsnwcefie | Bevosanoee osamsris ponte mea. | Geel || Ce rrocausie2 —_ryonsnocerie | mee | mews rosamsier2 —_ponSauefie | moron] Batons rowan ns yon snore | [Misco est reas 5 dows bonnie | > monecos| Brome woeameinst ovata rie | »OmD Bicsoue roeaners6 atom Sore | > eon | Mteenn oeam6 TIS Wado Bune | Smomog | Bsr scone eoeauermss Mato Sore | a Bsc rosamsier2 —_ponsnucfe | a resamsison rie | > erento | 19am | Remseeces 186 | | HBQe0G@o0ePomed Gees | ‘Search appleation monitoring a | AO ome yt
