start_time,end_time,duration_sec,duration,app,category,svdd_bucket,context_switches,main_task
2026-06-14 20:41:26,2026-06-14 20:41:32,6,6s,Chrome,[LEARNING] Learning & Development,primary,0,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 mx DIF): | @ La
2026-06-14 20:41:38,2026-06-14 20:41:47,9,9s,Chrome,[LEARNING] Learning & Development,primary,0,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor x + Phkemins = 0 x | mx DIF): | © > © © becatnoss00
2026-06-14 20:44:44,2026-06-14 20:45:45,61,1m 1s,Excel,[LEARNING] Learning & Development,primary,0,primary_bucket - Excel
2026-06-14 20:47:17,2026-06-14 20:48:54,97,1m 37s,Excel,[LEARNING] Learning & Development,primary,0,1 POSSE OATALOSS. Some exes mgt es ou sesh wotbookin comand fm To pes ee eaten se naa fc ema | start_timeend_time durati
2026-06-14 20:52:30,2026-06-14 20:53:00,30,30s,File Explorer,[LEARNING] Learning & Development,primary,0,(m ptiaon mentoring x | © D> ThsPC > Windows(C) > appclon menitring > | @ @ OF Nene ve | Edom # | Name | Boccmes ¢ Rew |
2026-06-14 20:55:41,2026-06-14 20:55:54,13,13s,Notepad,[LEARNING] Learning & Development,secondary,0,"> cestvecoutt| Ri pinay.buaet | > msc PB con, oice | DOES Bron sunny | > @ombive | v mmsrc | > wnowe | BQeaG@G0Pomeud Ce"
2026-06-14 20:56:57,2026-06-14 20:57:19,22,22s,Chrome,[LEARNING] Learning & Development,primary,0,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 mx DIF): | @ La
2026-06-14 20:57:22,2026-06-14 20:58:50,88,1m 28s,File Explorer,[LEARNING] Learning & Development,primary,0,1 botoe entering x + | © > GD > ThisrC > Windows) > laptop montering > | x oO Q@ © BD NSet- we view ~ | L Downloads # - 
2026-06-14 20:59:57,2026-06-14 21:01:38,101,1m 41s,OneNote,[LEARNING] Learning & Development,secondary,0,OneNote
2026-06-14 21:01:52,2026-06-14 21:02:09,17,17s,File Explorer,[LEARNING] Learning & Development,primary,0,1m opteaionmentorng x + | > @onive | > @onoive | v mmsrc | > wnowe | > new eased | © D> TsPC > Windows(C) > appelon meni
2026-06-14 21:02:12,2026-06-14 21:02:44,32,32s,Notepad,[LEARNING] Learning & Development,secondary,0,© 5% © D> Tse > Windows (Cd > atop mentatng > Search top monitesing a | as © ree | Be 6 meine; teint ssttsl patie Padi P
2026-06-14 21:02:57,2026-06-14 21:03:43,46,46s,Notepad,[LEARNING] Learning & Development,secondary,0,1 botoemontering x | © © D> TwwPC > Windows (C9 > lptop montring > ‘Seoch ptop montering a | nw XO @ CO Nee Btw mei | Lo
2026-06-14 21:03:52,2026-06-14 21:04:08,16,16s,Notepad,[LEARNING] Learning & Development,secondary,0,1 botoe entering x + | « 4% © D> TWisPC > Windows (C) > laptop monterng > Sere lptop moniteing a | One % © — ++ - gy Pei
2026-06-14 21:04:57,2026-06-14 21:18:51,834,13m 54s,Chrome,[LEARNING] Learning & Development,primary,0,"@ Laptop MONITOR Ado reeshin2s | Tol apres 76 | Search window ties, highlights, OCR tet | Luptop mantering File oer wk s"
