timestamp,app,category,category_label,ai_summary,clean_content
2026-06-14 20:41:14,Laptop Monitor,LEARNING,[LEARNING] Learning & Development,~ © covmssse XW Meet-op-atote — @ BAM Keys- Grog x + + Ask Gein | € > GS aowalegioacomeys Br Of | QPOQ Personal = 7 deteutProect = | ariKeys - | ‘Mana,"Laptop Monitor | ‘Manage your project API Keys. Remember to ke, =) @ Svekey Geta tee ay ~ conolegrogcom"
2026-06-14 20:41:16,Chrome,LEARNING,[LEARNING] Learning & Development,Y) © cavnassoe | © ecalnost000 | © Meet | © XB Mites -coqcous x tecitoss000 w+ | BQe0G@o0ePomeud Gees | Phkemins OX | sham Mendl(ou preening),localhost:5000 | sham Mendl(ou preening)
2026-06-14 20:41:18,Chrome,LEARNING,[LEARNING] Learning & Development,"Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 | @ Laptop MONITOR | Search window tiles, hig","Laptop Monitor | Search window tiles, highlights, OCR tex | (StS -Cretng Sings Submit Google Chrome (0 Dison in Competitive Pogamming | osregmconor ol GING = atprovencevcourtwe + Gaus[W) DRoin Compete Pry + -Ox | woe YouTube combinatorics pplyisteSES =* | 9. ‘combinatorics pplayist x tome CEA"
2026-06-14 20:41:20,Chrome,LEARNING,[LEARNING] Learning & Development,@ LAPTOP MONITOR,Laptop Monitor
2026-06-14 20:41:23,Laptop Monitor,LEARNING,[LEARNING] Learning & Development,~ © covmssse XW Meet-p-atote — @ XB AK -Grogcout % © Uptep Mentor x + + Ask Gein | © > GO Lecalhost:s000 Ber OF | LarTop MONITOR swe | ww LAPTOP MONIT,Laptop Monitor | Sore tay Geta rey = cole goacom | dress ae < ‘Screomhets\acreen ae-eeisri_ | ‘@urToP MoNTOR WecamaunexiMetopton 2708. ae mks “et sere seat
2026-06-14 20:41:25,Laptop Monitor,LEARNING,[LEARNING] Learning & Development,~ © covmssse XB Mect-gpetone — @ XB AMKeys-Groqiout % © Uptep Mentor x + + Ask Gemini | © % SO Lecathost:5000 Ber Oo fF | ° Grog API Key. Save Key Get,Laptop Monitor | ° Grog API Key. Save Key Get a free key ~ console. grogcom
2026-06-14 20:41:26,Chrome,LEARNING,[LEARNING] Learning & Development,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor w+ Phkemins OX | € > SO eathosts000 mx DIF): | @ Laptop MONITOR Aitoeesh int | ol,"Laptop Monitor | @ Laptop MONITOR Aitoeesh int | Search window tiles, highlights, OCR tex | Laptop Mor - Google Crome Iocamosson0- Google Chrome | earch window aco eedePomed Gees Pern O | ties 9 Menai proving)"
2026-06-14 20:41:27,Chrome,LEARNING,[LEARNING] Learning & Development,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © pep Montor x + Phkemins OX | © > © © becatnoss000 Be oF | @ Laptop MONITOR foveeshin Os | Te,Laptop Monitor | @ Laptop MONITOR foveeshin Os | Laptop Montor- Google home Laptop Moto - Google Crome
2026-06-14 20:41:32,Chrome,LEARNING,[LEARNING] Learning & Development,Y) © cavnassoe X | Met-opetove — @ x |B AMKe-Groqcous % © Uptep Mentor x + Phkemins 0 x | © > © © becatnoss000 mx DIF): | @ Laptop MONITOR | Laptop Mo,Laptop Monitor | Laptop Montor- Google Come Laptop Moter- Google Crome Laptop Mentor laptop Monitor | @ Laptop MONITOR extoss000 mx IF: | Grog AP Key. Save {60 tecahsts000 Ber OF | Aoveesin Os Te intlot ey Get ‘UsTOP MONIT | neomeece eomed Goce
2026-06-14 20:41:33,File Explorer,LEARNING,[LEARNING] Learning & Development,(m ptiaon mentoring x | © © D> TPE > Wind) > sprbeion montaing > | xo @ GB Nin Bim | Loomea | Mme . onemeiias | pe | Hoanes ¢ Mate oeamszott rete | Br,application_monitoring - File Explorer | Hoanes ¢ Mate oeamszott rete | Bron ¢ Moet woeameinet er | Becnmnee woeaméinst Moot Co. | Bevosanoee osamsris ponte mea. | mews rosamsier2 —_ponSauefie | moron] Batons rowan ns yon snore | [Misco est reas 5 dows bonnie | Brome woeameinst ovata rie | »OmD Bicsoue roeaners6 atom Sore | Mteenn oeam6 TIS Wado Bune | Bsr scone eoeauermss Mato Sore | HBQe0G@o0ePomed Gees | ‘Search appleation monitoring a
